Area,Area Code,Item,Item Code,current_year,current_area_harvested_ha,current_production_t,current_yield_kg/ha,beta_1965,beta_1966,beta_1967,beta_1968,beta_1969,beta_1970,beta_1971,beta_1972,beta_1973,beta_1974,beta_1975,beta_1976,beta_1977,beta_1978,beta_1979,beta_1980,beta_1981,beta_1982,beta_1983,beta_1984,beta_1985,beta_1986,beta_1987,beta_1988,beta_1989,beta_1990,beta_1991,beta_1992,beta_1993,beta_1994,beta_1995,beta_1996,beta_1997,beta_1998,beta_1999,beta_2000,beta_2001,beta_2002,beta_2003,beta_2004,beta_2005,beta_2006,beta_2007,beta_2008,beta_2009,beta_2010,beta_2011,beta_2012,beta_2013,beta_2014,beta_2015,beta_2016,beta_2017,beta_2018,beta_2019,beta_2020,beta_2021,beta_2022,beta_2023
Afghanistan,2,"Almonds, in shell",221,2023,37000.0,67000.0,1810.8,,,,,,,,,,,,,,,,0.005453942437117583,0.00682579525648089,0.007564174312895462,0.019241861050867653,0.014538056077912264,0.04136869086449138,0.032031698717530074,0.0031692295706290917,-0.03132314512732138,-0.09312305029879663,0.5789104760766816,1.461416580422035,0.8158219745523388,0.5021208618296453,0.18553762829524628,0.0,0.0,,,0.0,0.13404841290512426,0.43740512548974453,1.420268485311269,1.5241608199359784,1.4597043532506027,1.6726360486590182,-2.140646923753885,-1.0212291011316743,0.046399009931354235,0.2053439308727785,0.2105855233624349,-0.04960178045228143,0.1359061726562351,0.012661238928330374,0.21461230730542277,0.04778796635980793,0.3855045564009206,0.44288459513341016,0.30722769921099485,0.3379825816454921,0.280846269950606,1.2284653993834576,1.1949380124666074,1.2644577914391446
Afghanistan,2,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",711,2023,25439.0,17908.59,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.931806210840789,0.9341386192149718,0.9701011000209052,1.0255212404857181,1.0272982790506977,1.0238247388592205,1.0470907681407353,1.11303657277125,1.0763974838487131,1.0882629189393462,1.0356695682746386,1.0244647457565457,1.0123833891175087,1.0136951645796264,1.0077353585211049,1.0820492170703253,1.0337186483612832,1.040302488137705,0.9992724889268967,0.9953523005899368,0.9920461341608369,0.9262425409599694,0.786019679531073,0.691080465665047,0.9369284766622656,0.9296920843068966,0.9067239067249632,0.9044740038662022,1.066099829455911,1.1055683699419463,1.3694529887744724,1.6304100521727019,1.1072657118970601,1.2971459909455907
Afghanistan,2,Apples,515,2023,31000.0,324000.0,10451.6,0.3128390570399429,0.3164138435713185,0.07974082586642606,0.7619816091157229,0.6830762331289545,0.5339289667794781,-0.0066815688533210195,0.06563308039766054,0.06637869105574094,0.06461218369567903,0.08992933162370878,0.18258000212718595,0.008366441571637918,-0.013064839521893567,-0.014467467349036322,-0.012108630499563847,0.03253825708159905,0.4436947057086955,0.6239841901802029,0.7002795372503502,-0.5915861293538693,0.11682695088246552,0.7727927544019687,0.9162411752333315,0.9365552657226984,1.0601661648081704,-0.20929079322795657,0.005925183342424642,0.01851405433520055,0.3039648848671595,0.9359742306473569,0.9933082967848222,1.09091356536198,1.170153204063951,0.9667078337866335,0.9908528516632155,1.0188725955601636,0.9516293811367004,1.0295727375613475,1.0525115865191015,1.0002374440792747,0.9943768284529843,1.0023380396895518,0.9835824689619276,0.9883870992272349,0.3766148251534348,0.4610576681207212,0.38659983488073796,0.23717079919821243,0.9002022515242813,0.4201298430498065,0.7509528095442225,0.732168397240139,0.6679756903069479,1.0431715613089048,1.3665297928490467,0.951620530855091,0.7215662895890126,0.8658073090381425
Afghanistan,2,Apricots,526,2023,22008.0,155429.38,7062.4,0.29926782711227257,0.2950570023263665,0.07334759197619871,0.7405229646622061,0.6654240291976825,0.5259315051808273,-0.00426610159212214,0.060871758838425306,0.06246159815346728,0.06055911405443202,0.07811806770275531,0.17991705293809018,0.008936585088600239,-0.010487480579595827,-0.012257749682688177,-0.009474064864313392,0.040100951290149886,0.5048052767489449,0.646777481041553,0.626339093515079,-0.2071579444107903,0.1832169565979168,0.7851968375439564,0.9272137032281803,0.9301524795043916,1.0387271919551926,-0.8613881899528596,-3.0509877681399042,-2.7175731354640504,-2.4944962455550197,-0.048348987579788706,0.4089766847401067,0.5429031119508797,0.5204682299650445,0.569059238745988,2.3929768038535904,0.8613871719025834,0.9469367735096802,0.9577807016944854,0.9828301216148174,1.0134644308221281,1.0201959748047453,0.9192109714201475,0.8619686958624292,-0.39390046567440656,-0.08020058583889964,0.08552161588747696,-0.033488698881856224,-0.08787844970132355,0.016967169877992298,0.00841479914411223,0.05673606754053801,0.23314993092531056,0.2350631505987722,0.22939828552166575,0.365435575576903,0.6392382330440961,0.6806257136661201,0.8531371730199185
Afghanistan,2,Barley,44,2023,80000.0,110000.0,1375.0,0.0,0.0,1.97461204979559,1.8394688328772382,1.669232831785636,1.6476971924437789,-0.025922919963866413,-0.11944345585126247,-0.09736644401668156,0.47187038456727487,0.85918138578681,2.3495302175518957,-0.0009417538025340428,-0.06566509286407013,-0.03990515543058064,-0.002927305467532631,0.6044904373622895,1.0836850781521359,1.026244541257847,0.8418726176412327,0.6277282243467097,0.2632706538376304,0.928585391268355,0.7661563010956487,0.5739463838899518,0.326093615235483,0.2993887954475013,-1.5964541056194428,-0.303385618383261,-0.31595241167095806,0.0016629729570045821,0.1880982671990421,0.007699225502335972,0.06007706396957326,0.029104023640237568,0.2750081540635516,0.1468203316401669,0.561594500425953,0.5177676083147481,0.602634733923844,0.59571874563531,-0.3165060561496838,0.08999334324603142,-0.9165067098113294,0.2809613765273911,0.48379452485919167,0.35252423547120376,0.5865979373031108,0.6620626141736669,0.580156517299846,0.737694682711348,1.1145249426101143,1.1407318391419772,1.1227527236172343,0.4928659547994145,0.5147757977521077,0.2747616016115585,0.6278511552991394,1.1564445914970365
Afghanistan,2,Cantaloupes and other melons,568,2023,73628.0,795100.45,10798.9,0.0,-0.5762005146058914,-1.4304266943962376,-0.6223478384612723,-0.6541555087827199,-0.43417042117105564,0.029175660841218098,0.0,0.0,4.585128876585903e-05,-0.01015581652466116,1.8574586640916644,1.2663153462233587,1.1310145174321002,1.134232594322685,0.8086326428621182,0.2516374214656429,1.9737615591342783,1.5002293853678672,0.9638925154084724,0.964466895466245,2.4092173540990416,2.781931919829671,2.333993165900299,1.7592602642655766,0.37066283965338903,0.3879084859861714,0.39410366286035553,0.35346247608132303,1.004959566566688,1.00115742719044,1.0016440920328789,1.0014306791129934,1.2246561545195844,1.8911360953720366,1.0671667082264233,0.9882802853623963,1.0660500719399642,1.048063238366937,1.0159704393999913,1.0010988462562211,0.9185174421925275,0.9078643548669993,0.8701291039023703,0.8458726967864639,0.7026057032810156,0.91713724705755,0.9282826508393794,1.4507127863277018,0.9367075065034935,1.028934452178196,1.3163642886131566,1.6139464042009832,1.8110425204706757,1.7686296878394199,1.2258229294151688,1.0465784977593093,0.6709398674532412,0.7177424258200426
Afghanistan,2,"Cereals, primary",1717,2023,2340211.0,5371824.12,2295.4,0.01776984051887903,0.024405732222045447,-0.26403442937543287,-0.5375819229394353,-0.4827220393472571,-0.45633272468290714,-0.27965742517716596,0.3087555660139943,0.052712019512339336,0.20466331007791583,0.8491938911699454,-3.102671214141389,0.05635621906975565,0.04064264605358403,0.09819877354175627,0.06164867281416228,0.5354890286266206,-1.8656160348515924,-1.708574819562362,-1.756868674193269,-0.5611484837476916,-0.7758672209499554,0.6973640180480851,0.6176954258831276,0.5890128796553067,0.5776106915504909,0.8194617338116406,0.7989865761092388,0.7059674277573256,0.6813727906326431,0.7164870198581833,0.907400233679229,0.15225232681079506,0.14746057748505206,0.40650898438814187,0.12777704647651536,-0.016646535385303425,0.10760562068223924,0.14404966988810083,0.2653234598642118,0.21728335433897875,0.43233466299017553,0.3007825000659037,0.2505406177283842,0.2693047869594122,0.30116119931649193,0.3037512220029042,0.32098975330987745,0.30583753456026186,0.2707729179622759,0.5766891394398678,1.2072613113614992,1.4049222248363293,2.316947112344498,1.1554832487389552,1.22120261627965,1.184272354647623,1.141257350116427,1.0821490117063775
Afghanistan,2,"Citrus Fruit, Total",1804,2023,3358.0,26345.68,7846.2,0.30579766619490395,0.30545551431536205,0.08472613758884669,0.7448944877010303,0.6813156837583257,0.5325614794828722,-0.006875427511282784,0.06730630946193708,0.06883153039968898,0.06691281125442579,0.09479800147259654,0.16882374830731214,0.01465682999354314,-0.006127187266976223,-0.008039496159238331,-0.005644066561389976,0.038634302871897355,0.4517153965527796,0.6138131246216851,0.5379682837140621,-0.5105778269479606,0.15458347099128616,0.7886533415362843,0.9228705655405629,0.9216984494482853,1.0290953389101578,0.5695974797412073,1.0532859805979506,1.0948103761140449,1.0944414699898106,1.7552953348232745,4.291793073649831,-6.059342557544263,-4.6137549961909,1.1978903233383236,1.0805629783218504,1.0255638692450753,0.9812122477230323,0.8594997602702213,1.097752390831644,1.0647586196890102,0.7799747995740931,0.4179427282893882,0.6678415764615194,0.4397717098132908,-0.24188555760947478,0.0,0.0,0.008100741148974052,-0.029179465847275626,0.34629952944483267,0.6395919200732986,0.6585917110813918,0.6446174110836201,0.7161462998956094,0.9594267081974149,0.9791224182572084,0.9800811648606862,0.9845446420253073
Afghanistan,2,"Fibre Crops, Fibre Equivalent",17530,2023,51906.0,23957.19,461.5,0.474233313347795,0.6821590311143653,0.28857632594272087,2.091157314885406,1.5319476211537533,0.1627907369959594,0.06557145881610639,0.06021480606220588,0.5171152102534177,0.6560421954683645,0.8384956563447686,0.716138576899996,1.2150877580287118,-0.6759912203091868,1.2454337934987953,1.2878146553346537,1.8047949645550303,2.55334883688024,1.294349157869534,-0.06378318754090526,0.03137243435637546,-0.22841160188430876,0.510992193080095,0.7384586508053435,0.6960390688496636,1.0859280015390527,0.9275707644511972,0.924138126006643,1.1633458107084882,0.894308181140173,,,,,,1.0332383422263334,1.0332383422263332,1.033238342226333,0.9342722988236669,0.9340452045188151,0.9452298345052691,0.9840671817163432,0.9217620594667318,0.6474258773220429,-0.3548394922632958,-0.03298451585878702,-0.11792977091312326,-0.09628765360705929,0.1468492960601594,0.6677288640991537,1.3357317999991243,1.406088314972026,1.0323096647674919,0.8209040751975483,0.8260797579921051,0.7890917786142168,0.3615041935110696,0.7526928666069357,0.8914118719137457
Afghanistan,2,Figs,569,2023,10228.0,60651.09,5929.9,0.3139675273099605,0.3065539449324865,0.07370470642993784,0.7102892679283752,0.6627504284750557,0.5214882413752125,-0.004235039120874357,0.06275950732848239,0.06418983430962757,0.06238297264276356,0.08077437055494747,0.1642341497651382,0.011001917306074145,-0.00884891447668963,-0.010587840298363287,-0.007545092774558602,0.04317149311300307,0.47594154995910465,0.636286922546236,0.46729913763335884,-0.15182934767520181,0.17258339534023076,0.8567054581471646,1.0175195061950295,1.0226061542561409,1.1038378755683425,-15.647911225593852,-28.573299240194256,-8.630361772850197,-9.663260856560209,2.244365865754336,1.7521368065583642,-0.037254097965451795,0.9101008227543271,1.4285966835611468,1.5511042022808486,1.797638572774796,1.111936019128244,0.54645062858781,0.2046994703813232,0.18832930068696707,-0.1065277329130457,0.27335207588127164,0.16016087345339358,-0.30794553816365605,-0.3848239365578708,-0.3279126913917325,-0.5796040705454152,0.03537635646140605,1.0205624270832756,0.7541130441727322,1.3730003754608724,0.8491477587203505,0.848097549332811,0.9717123590622117,0.6530090128941111,0.7412083385207789,0.7351542396845333,0.7630079549029093
